th_001	คุณคงว่างมากเลยสินะ
th_045	ค้นหาต่อเนื่องเป็นเวลาห้าวัน
th_046	ความยุติธรรมล่าช้าคือความยุติธรรมที่ถูกปฏิเสธ
th_047	โอกาสหนึ่งเดียวนั้นคืออะไร?
th_048	คุณสามารถกินช้างหากคุณทำครั้งละหนึ่งคำ
th_049	เพราะฉะนั้น ผู้มาเยือน
th_050	บทกวีคือการยืนยันชีวิต
th_051	คุณครูให้การบ้านนักเรียน
th_052	ถอนหายใจสองสามขัอ
th_053	ฉันนึกภาพไม่ออก
th_054	เขากำลังมาพอดี
th_055	ถ้าคุณปล่อยคลัทช์เร็วเกินไปเครื่องยนต์จะหยุดทำงาน
th_056	ข้าวมันไก่ที่หนองเดิ่นอร่อยที่สุดในหนองคาย
th_057	ปัจจุบัน อีโมจิเป็นสิ่งที่ทุกคนคุ้นเคย
th_058	ฉันอาจจะตายทั้งชีวิตในทุ่งนาของชาวนา
th_059	ถึงแม้การบริการของเขาจะไม่ค่อยมีความจำเป็นต้องมี
th_060	ฉันรู้สึกแน่นหน้าอกด้านซ้ายขึ้นมาทันที
th_061	เว็บไซต์หลายแห่งปิดกั้นการเข้าถึงจากยุโรป
th_062	พวกเราอ่านมันด้วยความสนใจเป็นที่สุด
th_063	ความเงียบคือการรักษาการทำให้เสียชื่อเสียง
th_064	ฉันเห็นอกเห็นใจกับสิ่งของ
th_065	คุณพ่อท่านสงสารผม
th_066	เราจะเชื่อมโยงธุรกิจที่ประสบความสำเร็จในระหว่างเศรษฐกิจขาลงได้อย่างไร?
th_067	กุญแจอยู่ไหน
th_068	แม่กับพ่อเป็นคนที่เรารักและนับถือ
th_069	ฉันขอพาคุณไปที่โรงรถได้ไหม
th_070	ฉันมีภาวะโลหิตจาง
th_071	ดาวพลูโตได้รับการพิจารณาว่าเป็นดาวเคราะห์แคระ
th_072	หลังจากนั้น มีบางสิ่งที่เธอเกี่ยวข้องกับการซ่อนของพวกเขา
th_073	เธอกำลังลับมีดที่ใช้มานานแล้ว
th_074	เกิดอะไรขึ้นกับคุณ?
th_075	มีร้านอาหารแถวนี้ไหม?
th_076	ผมเป็นนักศึกษา
th_077	ภาคคอมพิวเตอร์มีสองสาขา คือ สาขาวิทยาการคอมพิวเตอร์และสาขาเทคโนโลยีสารสนเทศ
th_078	เช่นเดียวกับกฎของหัวแม่มือ
th_079	ถ้าเราไม่รีบแต่งตัวเราจะไปงานไม่ทัน
th_080	ฉันมีอาการไอเจ็บหน้าอกทั้งคืน
th_081	เอาล่ะ มันไม่ใช่ธุระกงการอะไรของคุณ
th_082	เอาให้แน่ใจว่าเดินได้ดีแล้ว ก่อนที่จะไปวิ่ง
th_083	นี่คุณเซอร์ไพรส์ฉันหรอ
th_084	สมมติว่าคุณเห็นฉันทำงานผ่านหน้าต่าง
th_085	ภายนอกเขารักษาความสงบและรอยยิ้ม
th_086	ซึ่งก็แน่นอนว่าเขาไม่ได้สร้างมาจากกล่องกระดาษทั้งหมด
th_087	กรมอุตุนิยมวิทยามีหน้าที่พยากรณ์อากาศ
th_088	คุณหมายความว่าจะทำอะไร
th_089	เธออยากดื่มน้ำมะนาวสักหน่อย
th_090	จากนั้นเดินกลับบ้าน
th_091	มด วนิดา ตันติวิทยาพิทักษ์ อดีตที่ปรึกษาสมัชชาคนจน ซึ่งเสียเสียชีวิตแล้วด้วยโรคมะเร็งในวัย ห้าสิบสอง ปี
th_092	พิล คุณทำ ใช่ไหม?
th_093	นักดำน้ำพบศพในทะเลสาบ
th_094	ฉันไม่มีเงินเหลืออยู่เลย
th_095	เสียงล้อลั่นดังเอี๊ยด และทำให้ดังไปถึงข้างในหูพวกเขา
th_096	ฉันมองเห็นบ้านของฉันได้จากตรงนี้
th_097	เกิดแผ่นดินไหวที่ประเทศญี่ปุ่น
th_098	ฉันได้แนบจดหมายปะหน้าไปพร้อมกับเรซูเม่แล้ว
th_099	เรารับความผิดพลาดจากระบบไม่ได้
th_100	ฉันได้ยินมาว่าเธอกลืนไปบ้าง
